gene_no	ensembl_id	rank	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p	rank	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
5176	ENSG00000127445	12184	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	19	p13.2	1	9835257	9849682	-0.08	1.51E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5177	ENSG00000127452	10966	FBXL12	F-box and leucine-rich repeat protein 12 [Source:HGNC Symbol;Acc:HGNC:13611]	19	p13.2	-1	9810267	9827816	-0.09	5.29E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5178	ENSG00000127472	1980	PLA2G5	phospholipase A2, group V [Source:HGNC Symbol;Acc:HGNC:9038]	1	p36.13	1	20028179	20091190	-0.58	2.52E-21	6218	PLA2G5	phospholipase A2, group V [Source:HGNC Symbol;Acc:HGNC:9038]	1	p36.13	1	20028179	20091190	0.338545813	0.180390343
5179	ENSG00000127481	8788	UBR4	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	1	p36.13	-1	19074506	19210276	0.10	2.67E-03	9221	UBR4	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	1	p36.13	-1	19074506	19210276	-0.024440824	0.921627299
5180	ENSG00000127483	12303	HP1BP3	heterochromatin protein 1, binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	1	p36.12	-1	20742661	20787323	0.09	1.65E-01	262	HP1BP3	heterochromatin protein 1, binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	1	p36.12	-1	20742661	20787323	1.839020107	1.48E-24
5181	ENSG00000127507	13350	ADGRE2	adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]	19	p13.12	-1	14732393	14778541	0.05	3.05E-01	6092	ADGRE2	adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]	19	p13.12	-1	14732393	14778541	0.234977696	0.157496702
5182	ENSG00000127511	5992	SIN3B	SIN3 transcription regulator family member B [Source:HGNC Symbol;Acc:HGNC:19354]	19	p13.11	1	16829400	16880353	-0.34	1.11E-06	1713	SIN3B	SIN3 transcription regulator family member B [Source:HGNC Symbol;Acc:HGNC:19354]	19	p13.11	1	16829400	16880353	-0.944361414	1.04E-07
5183	ENSG00000127527	12294	EPS15L1	epidermal growth factor receptor pathway substrate 15-like 1 [Source:HGNC Symbol;Acc:HGNC:24634]	19	p13.11	-1	16355239	16472085	-0.09	1.64E-01	6233	EPS15L1	epidermal growth factor receptor pathway substrate 15-like 1 [Source:HGNC Symbol;Acc:HGNC:24634]	19	p13.11	-1	16355239	16472085	-0.283626577	0.183761952
5184	ENSG00000127528	10172	KLF2	Kruppel-like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	19	p13.11	1	16324817	16327874	-0.08	2.15E-02	8426	KLF2	Kruppel-like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	19	p13.11	1	16324817	16327874	-0.115796911	0.708002331
5185	ENSG00000127533	5870	F2RL3	coagulation factor II (thrombin) receptor-like 3 [Source:HGNC Symbol;Acc:HGNC:3540]	19	p13.11	1	16888860	16892606	0.48	6.55E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5186	ENSG00000127540	12143	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	19	p13.3	-1	1597172	1605490	0.09	1.48E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5187	ENSG00000127554	6626	GFER	growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]	16	p13.3	1	1984207	1987749	0.24	1.16E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5188	ENSG00000127561	15226	SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	16	p13.3	1	1989660	1994275	0.04	6.67E-01	5383	SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	16	p13.3	1	1989660	1994275	0.316772559	0.069876217
5189	ENSG00000127564	3435	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	16	p13.3	-1	2968024	2980539	1.20	2.41E-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5190	ENSG00000127578	7194	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30912]	16	p13.3	1	629239	634116	0.33	6.70E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5191	ENSG00000127580	2784	WDR24	WD repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:20852]	16	p13.3	-1	684622	690444	0.34	3.32E-16	4124	WDR24	WD repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:20852]	16	p13.3	-1	684622	690444	-0.299079403	0.008885641
5192	ENSG00000127585	10434	FBXL16	F-box and leucine-rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	16	p13.3	-1	692498	705829	0.13	3.05E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5193	ENSG00000127586	6796	CHTF18	chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435]	16	p13.3	1	788046	800737	0.36	2.00E-05	2618	CHTF18	chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435]	16	p13.3	1	788046	800737	-0.570910017	5.47E-05
5194	ENSG00000127588	10228	GNG13	guanine nucleotide binding protein (G protein), gamma 13 [Source:HGNC Symbol;Acc:HGNC:14131]	16	p13.3	-1	798041	800733	0.28	2.32E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5195	ENSG00000127603	2297	MACF1	microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	1	p34.3	1	39081316	39487177	-0.25	5.75E-19	6241	MACF1	microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	1	p34.3	1	39081316	39487177	0.207479184	0.184599172
5196	ENSG00000127616	1692	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]	19	p13.2	1	10961001	11065395	0.46	5.58E-24	5061	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]	19	p13.2	1	10961001	11065395	-0.559530564	0.044342436
5197	ENSG00000127663	1636	KDM4B	lysine (K)-specific demethylase 4B [Source:HGNC Symbol;Acc:HGNC:29136]	19	p13.3	1	4969113	5153595	0.35	1.12E-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5198	ENSG00000127666	7343	TICAM1	toll-like receptor adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]	19	p13.3	-1	4815932	4831704	0.18	1.04E-04	1208	TICAM1	toll-like receptor adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]	19	p13.3	-1	4815932	4831704	-1.035337775	2.73E-10
5199	ENSG00000127688	5900	NA	NA	NA	NA	NA	NA	NA	-0.59	7.46E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5200	ENSG00000127720	8887	METTL25	methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]	12	q21.31	1	82358497	82479236	-0.11	3.30E-03	1519	METTL25	methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]	12	q21.31	1	82358497	82479236	0.707111392	1.18E-08
5201	ENSG00000127804	14459	METTL16	methyltransferase like 16 [Source:HGNC Symbol;Acc:HGNC:28484]	17	p13.3	-1	2405562	2511891	0.03	4.97E-01	8597	METTL16	methyltransferase like 16 [Source:HGNC Symbol;Acc:HGNC:28484]	17	p13.3	-1	2405562	2511891	-0.06116854	0.756312495
5202	ENSG00000127824	679	TUBA4A	tubulin, alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	2	q35	-1	219249711	219278170	-1.35	5.43E-41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5203	ENSG00000127831	15928	VIL1	villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]	2	q35	1	218419092	218453295	0.01	8.27E-01	8651	VIL1	villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]	2	q35	1	218419092	218453295	0.050443021	0.76928936
5204	ENSG00000127837	8197	AAMP	angio-associated, migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]	2	q35	-1	218264123	218270257	0.18	8.24E-04	8688	AAMP	angio-associated, migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]	2	q35	-1	218264123	218270257	0.04247758	0.779502844
5205	ENSG00000127838	7279	PNKD	paroxysmal nonkinesigenic dyskinesia [Source:HGNC Symbol;Acc:HGNC:9153]	2	q35	1	218270392	218346793	0.15	8.51E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5206	ENSG00000127863	3737	TNFRSF19	tumor necrosis factor receptor superfamily, member 19 [Source:HGNC Symbol;Acc:HGNC:11915]	13	q12.12	1	23570370	23676104	-0.92	3.26E-12	8814	TNFRSF19	tumor necrosis factor receptor superfamily, member 19 [Source:HGNC Symbol;Acc:HGNC:11915]	13	q12.12	1	23570370	23676104	-0.102260183	0.810155343
5207	ENSG00000127870	14416	RNF6	ring finger protein (C3H2C3 type) 6 [Source:HGNC Symbol;Acc:HGNC:10069]	13	q12.13	-1	26132115	26222493	-0.02	4.90E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5208	ENSG00000127884	2207	ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:3151]	10	q26.3	-1	133362480	133373689	0.50	1.63E-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5209	ENSG00000127903	14425	ZNF835	zinc finger protein 835 [Source:HGNC Symbol;Acc:HGNC:34332]	19	q13.43	-1	56661981	56671783	0.04	4.91E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5210	ENSG00000127914	4977	AKAP9	A kinase (PRKA) anchor protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	7	q21.2	1	91940867	92110673	0.12	9.16E-09	4701	AKAP9	A kinase (PRKA) anchor protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	7	q21.2	1	91940867	92110673	-0.47010098	0.025511142
5211	ENSG00000127920	476	GNG11	guanine nucleotide binding protein (G protein), gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	7	q21.3	1	93921699	93928610	-0.79	2.44E-47	2239	GNG11	guanine nucleotide binding protein (G protein), gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	7	q21.3	1	93921699	93928610	0.874195254	6.35E-06
5212	ENSG00000127928	10871	GNGT1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4411]	7	q21.3	1	93591573	93911265	0.22	4.76E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5213	ENSG00000127946	5160	HIP1	huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:4913]	7	q11.23	-1	75533300	75738962	0.26	2.44E-08	5133	HIP1	huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:4913]	7	q11.23	-1	75533300	75738962	0.446201221	0.049290459
5214	ENSG00000127947	14912	PTPN12	protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	7	q11.23	1	77537275	77640071	-0.03	5.91E-01	857	PTPN12	protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	7	q11.23	1	77537275	77640071	1.196824626	2.61E-13
5215	ENSG00000127948	10873	POR	P450 (cytochrome) oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	7	q11.23	1	75899200	75986855	0.04	4.77E-02	8614	POR	P450 (cytochrome) oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	7	q11.23	1	75899200	75986855	0.059837802	0.759991213
5216	ENSG00000127951	5217	FGL2	fibrinogen-like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	7	q11.23	-1	77193371	77199826	-0.71	3.04E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5217	ENSG00000127952	2372	STYXL1	serine/threonine/tyrosine interacting-like 1 [Source:HGNC Symbol;Acc:HGNC:18165]	7	q11.23	-1	75996338	76048004	0.48	1.86E-18	9099	STYXL1	serine/threonine/tyrosine interacting-like 1 [Source:HGNC Symbol;Acc:HGNC:18165]	7	q11.23	-1	75996338	76048004	0.029803479	0.884397155
5218	ENSG00000127954	5902	STEAP4	STEAP family member 4 [Source:HGNC Symbol;Acc:HGNC:21923]	7	q21.12	-1	88270892	88306891	0.91	7.56E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5219	ENSG00000127955	2278	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4384]	7	q21.11	1	80133955	80219402	0.40	4.38E-19	1043	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4384]	7	q21.11	1	80133955	80219402	1.352295187	1.47E-11
5220	ENSG00000127980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4536	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]	7	q21.2	-1	92487020	92528531	-0.365161293	0.019288237
5221	ENSG00000127989	6349	MTERF1	mitochondrial transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:21463]	7	q21.2	-1	91692008	91880720	0.32	4.02E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5222	ENSG00000127990	1406	SGCE	sarcoglycan, epsilon [Source:HGNC Symbol;Acc:HGNC:10808]	7	q21.3	-1	94585230	94656209	-0.68	2.48E-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5223	ENSG00000127993	11677	RBM48	RNA binding motif protein 48 [Source:HGNC Symbol;Acc:HGNC:21785]	7	q21.2	1	92528773	92538005	-0.07	1.07E-01	4745	RBM48	RNA binding motif protein 48 [Source:HGNC Symbol;Acc:HGNC:21785]	7	q21.2	1	92528773	92538005	0.293923223	0.027352062
5224	ENSG00000127995	4823	CASD1	CAS1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16014]	7	q21.3	1	94509219	94557019	0.35	3.75E-09	749	CASD1	CAS1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16014]	7	q21.3	1	94509219	94557019	-1.273925842	2.26E-14
5225	ENSG00000128011	2682	LRFN1	leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29290]	19	q13.2	-1	39306568	39315336	1.08	1.09E-16	7283	LRFN1	leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29290]	19	q13.2	-1	39306568	39315336	-0.125912348	0.414718155
5226	ENSG00000128016	14218	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	19	q13.2	1	39406813	39409412	0.07	4.53E-01	1566	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	19	q13.2	1	39406813	39409412	-1.777296004	2.37E-08
5227	ENSG00000128040	9175	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor) [Source:HGNC Symbol;Acc:HGNC:11245]	4	q12	-1	56809860	56821742	-0.11	5.19E-03	1311	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor) [Source:HGNC Symbol;Acc:HGNC:11245]	4	q12	-1	56809860	56821742	1.346621836	8.84E-10
5228	ENSG00000128045	2897	RASL11B	RAS-like, family 11, member B [Source:HGNC Symbol;Acc:HGNC:23804]	4	q12	1	52862290	52866835	-0.69	1.08E-15	2608	RASL11B	RAS-like, family 11, member B [Source:HGNC Symbol;Acc:HGNC:23804]	4	q12	1	52862290	52866835	0.954363235	5.13E-05
5229	ENSG00000128050	39	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase [Source:HGNC Symbol;Acc:HGNC:8587]	4	q12	1	56435741	56464579	0.81	1.43E-95	7689	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase [Source:HGNC Symbol;Acc:HGNC:8587]	4	q12	1	56435741	56464579	0.078320524	0.518300919
5230	ENSG00000128052	5157	KDR	kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307]	4	q12	-1	55078477	55125589	-0.77	2.42E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5231	ENSG00000128059	1080	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	4	q12	-1	56393362	56435615	0.92	2.71E-32	6677	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	4	q12	-1	56393362	56435615	0.17680847	0.269277796
5232	ENSG00000128159	6369	TUBGCP6	tubulin, gamma complex associated protein 6 [Source:HGNC Symbol;Acc:HGNC:18127]	22	q13.33	-1	50217689	50244992	0.18	4.33E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5233	ENSG00000128165	2382	ADM2	adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]	22	q13.33	1	50481556	50486440	0.64	2.09E-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5234	ENSG00000128203	12884	ASPHD2	aspartate beta-hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30437]	22	q12.1	1	26429273	26445015	0.07	2.39E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5235	ENSG00000128218	15700	VPREB3	pre-B lymphocyte 3 [Source:HGNC Symbol;Acc:HGNC:12710]	22	q11.23	-1	23752743	23754468	-0.01	7.76E-01	3624	VPREB3	pre-B lymphocyte 3 [Source:HGNC Symbol;Acc:HGNC:12710]	22	q11.23	-1	23752743	23754468	0.39495648	0.002460889
5236	ENSG00000128228	5147	SDF2L1	stromal cell-derived factor 2-like 1 [Source:HGNC Symbol;Acc:HGNC:10676]	22	q11.21	1	21642261	21644298	0.27	2.31E-08	3695	SDF2L1	stromal cell-derived factor 2-like 1 [Source:HGNC Symbol;Acc:HGNC:10676]	22	q11.21	1	21642261	21644298	0.415466263	0.002944953
5237	ENSG00000128242	12681	GAL3ST1	galactose-3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24240]	22	q12.2	-1	30554635	30574587	-0.02	2.12E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5238	ENSG00000128245	3919	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta [Source:HGNC Symbol;Acc:HGNC:12853]	22	q12.3	1	31944461	31957603	-0.36	1.26E-11	2497	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta [Source:HGNC Symbol;Acc:HGNC:12853]	22	q12.3	1	31944461	31957603	0.745703156	2.92E-05
5239	ENSG00000128250	9698	RFPL1	ret finger protein-like 1 [Source:HGNC Symbol;Acc:HGNC:9977]	22	q12.2	1	29438583	29442455	-0.38	1.17E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5240	ENSG00000128253	7037	RFPL2	ret finger protein-like 2 [Source:HGNC Symbol;Acc:HGNC:9979]	22	q12.3	-1	32190435	32203477	-0.46	4.16E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5241	ENSG00000128262	6372	POM121L9P	POM121 transmembrane nucleoporin-like 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:30080]	22	q11.23	1	24251828	24265525	-0.48	4.40E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5242	ENSG00000128266	591	GNAZ	guanine nucleotide binding protein (G protein), alpha z polypeptide [Source:HGNC Symbol;Acc:HGNC:4395]	22	q11.22	1	23070361	23125037	-1.68	1.28E-43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5243	ENSG00000128268	8553	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7046]	22	q13.1	1	39457344	39492194	-0.11	1.69E-03	9096	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7046]	22	q13.1	1	39457344	39492194	0.021572464	0.883893468
5244	ENSG00000128271	9375	ADORA2A	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]	22	q11.23	1	24417879	24442360	0.43	7.10E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5245	ENSG00000128272	8606	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	22	q13.1	1	39519695	39522685	0.23	1.88E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5246	ENSG00000128274	2342	A4GALT	alpha 1,4-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:18149]	22	q13.2	-1	42692121	42721298	-0.43	1.17E-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5247	ENSG00000128283	12640	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1 [Source:HGNC Symbol;Acc:HGNC:17014]	22	q13.1	1	37560447	37569405	0.05	2.07E-01	6532	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1 [Source:HGNC Symbol;Acc:HGNC:17014]	22	q13.1	1	37560447	37569405	0.255056712	0.244895366
5248	ENSG00000128284	14398	APOL3	apolipoprotein L, 3 [Source:HGNC Symbol;Acc:HGNC:14868]	22	q12.3	-1	36140330	36166177	0.01	4.86E-01	2940	APOL3	apolipoprotein L, 3 [Source:HGNC Symbol;Acc:HGNC:14868]	22	q12.3	-1	36140330	36166177	0.803881484	0.000254404
5249	ENSG00000128285	16360	MCHR1	melanin-concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]	22	q13.2	1	40678750	40682814	0.01	9.25E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5250	ENSG00000128294	8687	TPST2	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]	22	q12.1	-1	26521983	26596717	-0.06	2.22E-03	3505	TPST2	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]	22	q12.1	-1	26521983	26596717	0.6931593	0.001765303
5251	ENSG00000128298	7265	BAIAP2L2	BAI1-associated protein 2-like 2 [Source:HGNC Symbol;Acc:HGNC:26203]	22	q13.1	-1	38084889	38110670	0.36	8.36E-05	8520	BAIAP2L2	BAI1-associated protein 2-like 2 [Source:HGNC Symbol;Acc:HGNC:26203]	22	q13.1	-1	38084889	38110670	-0.055164176	0.73320188
5252	ENSG00000128309	2261	MPST	mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223]	22	q12.3	1	37019635	37029822	0.42	3.57E-19	7583	MPST	mercaptopyruvate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:7223]	22	q12.3	1	37019635	37029822	-0.126219504	0.487273354
5253	ENSG00000128311	6208	TST	thiosulfate sulfurtransferase (rhodanese) [Source:HGNC Symbol;Acc:HGNC:12388]	22	q12.3	-1	37010859	37020183	0.27	2.46E-06	3782	TST	thiosulfate sulfurtransferase (rhodanese) [Source:HGNC Symbol;Acc:HGNC:12388]	22	q12.3	-1	37010859	37020183	0.539401883	0.003809706
5254	ENSG00000128313	15751	APOL5	apolipoprotein L, 5 [Source:HGNC Symbol;Acc:HGNC:14869]	22	q12.3	1	35717872	35729483	-0.05	7.91E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5255	ENSG00000128335	15903	APOL2	apolipoprotein L, 2 [Source:HGNC Symbol;Acc:HGNC:619]	22	q12.3	-1	36226203	36239954	0.00	8.23E-01	3405	APOL2	apolipoprotein L, 2 [Source:HGNC Symbol;Acc:HGNC:619]	22	q12.3	-1	36226203	36239954	-0.414903513	0.001326976
5256	ENSG00000128342	14281	LIF	leukemia inhibitory factor [Source:HGNC Symbol;Acc:HGNC:6596]	22	q12.2	-1	30240447	30246851	-0.04	4.64E-01	4855	LIF	leukemia inhibitory factor [Source:HGNC Symbol;Acc:HGNC:6596]	22	q12.2	-1	30240447	30246851	-0.759711247	0.032560984
5257	ENSG00000128346	6510	C22orf23	chromosome 22 open reading frame 23 [Source:HGNC Symbol;Acc:HGNC:18589]	22	q13.1	-1	37943050	37953669	-0.81	7.49E-06	7209	C22orf23	chromosome 22 open reading frame 23 [Source:HGNC Symbol;Acc:HGNC:18589]	22	q13.1	-1	37943050	37953669	-0.190128595	0.393368526
5258	ENSG00000128383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7090	APOBEC3A	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A [Source:HGNC Symbol;Acc:HGNC:17343]	22	q13.1	1	38952741	38992778	0.159650553	0.361017066
5259	ENSG00000128394	3002	APOBEC3F	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F [Source:HGNC Symbol;Acc:HGNC:17356]	22	q13.1	1	39040604	39053910	-0.83	3.63E-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5260	ENSG00000128408	13146	RIBC2	RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]	22	q13.31	1	45413691	45432496	0.03	2.78E-01	5095	RIBC2	RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]	22	q13.31	1	45413691	45432496	-0.434361817	0.046380658
5261	ENSG00000128422	9467	KRT17	keratin 17, type I [Source:HGNC Symbol;Acc:HGNC:6427]	17	q21.2	-1	41619437	41624842	-0.48	8.37E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5262	ENSG00000128482	1026	RNF112	ring finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12968]	17	p11.2	1	19411125	19417276	-1.62	3.13E-33	5675	RNF112	ring finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12968]	17	p11.2	1	19411125	19417276	-0.561656442	0.099779902
5263	ENSG00000128487	12827	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]	17	p11.2	1	20009344	20319026	0.05	2.32E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5264	ENSG00000128512	992	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	7	q31.1	-1	111726110	112206411	0.56	6.50E-34	2984	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	7	q31.1	-1	111726110	112206411	-0.615702478	0.000316958
5265	ENSG00000128513	5419	POT1	protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]	7	q31.33	-1	124822386	124929983	0.22	8.24E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5266	ENSG00000128524	12553	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	7	q32.1	1	128862826	128865844	0.08	1.94E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
